时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-10-07 16:57:14,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,BUY,5.023,1990.8421262193908,1990.8421262193908,5.023,0.0,10000.0
2019-04-01,SELL,5.4528,1990.8421262193908,0.0,0.0,855.6639458490945,10855.663945849094
2019-04-01,BUY,5.1559,2105.4838041562275,2105.4838041562275,5.1559,0.0,10855.663945849094
2019-04-08,SELL,5.8355,2105.4838041562275,0.0,0.0,1430.8867933045717,12286.550739153665
2019-04-08,BUY,7.5558,1626.108517847702,1626.108517847702,7.5558,0.0,12286.550739153665
2019-04-09,SELL,7.954,1626.108517847702,0.0,0.0,647.516411806955,12934.06715096062
2019-04-09,BUY,6.115,2115.1377188815404,2115.1377188815404,6.115,0.0,12934.06715096062
2019-04-17,SELL,5.7405,2115.1377188815404,0.0,0.0,-792.1190757211375,12141.948075239483
2019-04-17,BUY,5.4173,2241.328350883186,2241.328350883186,5.4173,0.0,12141.948075239483
2019-04-23,SELL,5.1624,2241.328350883186,0.0,0.0,-571.3145966401244,11570.633478599359
2019-04-23,BUY,6.7416,1716.303767443835,1716.303767443835,6.7416,0.0,11570.633478599359
2019-05-29,SELL,5.5159,1716.303767443835,0.0,0.0,-2103.6735277559083,9466.959950843451
2019-05-29,BUY,4.4512,2126.833202472019,2126.833202472019,4.4512,0.0,9466.959950843451
2019-05-30,SELL,4.4338,2126.833202472019,0.0,0.0,-37.00689772301378,9429.953053120438
2019-05-30,BUY,5.4071,1743.9945725287935,1743.9945725287935,5.4071,0.0,9429.953053120438
2019-08-19,SELL,4.9228,1743.9945725287935,0.0,0.0,-844.616571475695,8585.336481644743
2019-08-19,BUY,4.102,2092.9635498890157,2092.9635498890157,4.102,0.0,8585.336481644743
2019-08-27,SELL,4.0295,2092.9635498890157,0.0,0.0,-151.73985736695505,8433.596624277789
2019-08-27,BUY,3.113,2709.1540714030803,2709.1540714030803,3.113,0.0,8433.596624277789
2019-08-28,SELL,3.4253,2709.1540714030803,0.0,0.0,846.068816499182,9279.665440776971
2019-08-28,BUY,4.0477,2292.5773749973987,2292.5773749973987,4.0477,0.0,9279.665440776971
2019-09-11,SELL,4.265,2292.5773749973987,0.0,0.0,498.17706358693437,9777.842504363905
2019-09-11,BUY,5.0513,1935.7081354035406,1935.7081354035406,5.0513,0.0,9777.842504363905
2020-04-20,SELL,4.4483,1935.7081354035406,0.0,0.0,-1167.2320056483363,8610.610498715569
2020-04-20,BUY,3.7488,2296.8978069557106,2296.8978069557106,3.7488,0.0,8610.610498715569
2020-04-21,SELL,3.6764,2296.8978069557106,0.0,0.0,-166.2954012235935,8444.315097491975
2020-04-21,BUY,4.0206,2100.262422895084,2100.262422895084,4.0206,0.0,8444.315097491975
2020-08-31,SELL,3.52,2100.262422895084,0.0,0.0,-1051.3913689012788,7392.923728590697
2020-08-31,BUY,6.31,1171.6202422489218,1171.6202422489218,6.31,0.0,7392.923728590697
2020-10-26,SELL,6.15,1171.6202422489218,0.0,0.0,-187.45923875982663,7205.46448983087
2020-10-26,BUY,12.6333,570.3548945905559,570.3548945905559,12.6333,0.0,7205.46448983087
2020-10-27,SELL,12.7818,570.3548945905559,0.0,0.0,84.69770184669773,7290.1621916775675
2020-10-27,BUY,5.98,1219.0906675046099,1219.0906675046099,5.98,0.0,7290.1621916775675
2021-01-11,SELL,8.0,1219.0906675046099,0.0,0.0,2462.5631483593115,9752.725340036879
2021-01-11,BUY,11.8628,822.1267609701655,822.1267609701655,11.8628,0.0,9752.725340036879
2021-01-15,SELL,12.4476,822.1267609701655,0.0,0.0,480.7797298153524,10233.505069852232
2021-01-15,BUY,7.66,1335.966719301858,1335.966719301858,7.66,0.0,10233.505069852232
2021-01-18,SELL,7.72,1335.966719301858,0.0,0.0,80.15800315811096,10313.663073010342
2021-01-18,BUY,12.4755,826.7134041128886,826.7134041128886,12.4755,0.0,10313.663073010342
2021-01-19,SELL,12.1877,826.7134041128886,0.0,0.0,-237.92811770368994,10075.734955306652
2021-01-19,BUY,7.16,1407.2255524171303,1407.2255524171303,7.16,0.0,10075.734955306652
2021-01-27,SELL,7.61,1407.2255524171303,0.0,0.0,633.2514985877089,10708.986453894362
2021-01-27,BUY,12.0949,885.4133935703777,885.4133935703777,12.0949,0.0,10708.986453894362
2021-02-22,SELL,11.1945,885.4133935703777,0.0,0.0,-797.2262195707691,9911.760234323592
2021-02-22,BUY,7.66,1293.963477065743,1293.963477065743,7.66,0.0,9911.760234323592
2021-02-26,SELL,8.48,1293.963477065743,0.0,0.0,1061.0500511939097,10972.810285517502
2021-02-26,BUY,11.1852,981.0115407429015,981.0115407429015,11.1852,0.0,10972.810285517502
2021-03-01,SELL,11.1574,981.0115407429015,0.0,0.0,-27.272120832651837,10945.538164684851
2021-03-01,BUY,8.05,1359.6941819484286,1359.6941819484286,8.05,0.0,10945.538164684851
2021-04-28,SELL,6.2,1359.6941819484286,0.0,0.0,-2515.434236604594,8430.103928080258
2021-04-28,BUY,6.61,1275.3561161997363,1275.3561161997363,6.61,0.0,8430.103928080258
2021-08-30,SELL,5.06,1275.3561161997363,0.0,0.0,-1976.8019801095923,6453.301947970665
2021-08-30,BUY,2.27,2842.864294260205,2842.864294260205,2.27,0.0,6453.301947970665
2021-08-31,SELL,2.04,2842.864294260205,0.0,0.0,-653.8587876798471,5799.443160290818
2021-08-31,BUY,4.66,1244.5156996332228,1244.5156996332228,4.66,0.0,5799.443160290818
