时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-10-07 16:45:18,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,BUY,5.5,1818.1818181818182,1818.1818181818182,5.5,0.0,10000.0
2020-10-09,BUY,5.51,1814.8820326678765,1814.8820326678765,5.51,0.0,10000.0
2020-10-12,BUY,5.61,1782.5311942959001,1782.5311942959001,5.61,0.0,10000.0
2020-10-13,BUY,5.71,1751.3134851138354,1751.3134851138354,5.71,0.0,10000.0
2020-10-14,BUY,5.79,1727.1157167530225,1727.1157167530225,5.79,0.0,10000.0
2020-10-15,BUY,5.99,1669.449081803005,1669.449081803005,5.99,0.0,10000.0
2020-10-16,BUY,5.9,1694.915254237288,1694.915254237288,5.9,0.0,10000.0
2020-10-19,BUY,5.76,1736.111111111111,1736.111111111111,5.76,0.0,10000.0
2020-10-20,BUY,5.83,1715.2658662092624,1715.2658662092624,5.83,0.0,10000.0
2020-10-21,BUY,5.7,1754.3859649122808,1754.3859649122808,5.7,0.0,10000.0
2020-10-22,BUY,5.78,1730.1038062283737,1730.1038062283737,5.78,0.0,10000.0
2020-10-23,BUY,5.99,1669.449081803005,1669.449081803005,5.99,0.0,10000.0
2020-10-26,BUY,12.6333,791.5588167778807,791.5588167778807,12.6333,0.0,10000.0
2020-10-27,BUY,5.98,1672.2408026755852,1672.2408026755852,5.98,0.0,10000.0
2020-10-28,BUY,6.03,1658.374792703151,1658.374792703151,6.03,0.0,10000.0
2020-10-29,BUY,6.16,1623.3766233766235,1623.3766233766235,6.16,0.0,10000.0
2020-10-30,BUY,5.85,1709.4017094017095,1709.4017094017095,5.85,0.0,10000.0
2020-11-02,BUY,6.38,1567.398119122257,1567.398119122257,6.38,0.0,10000.0
2020-11-03,BUY,6.36,1572.3270440251572,1572.3270440251572,6.36,0.0,10000.0
2020-11-04,BUY,6.2,1612.9032258064517,1612.9032258064517,6.2,0.0,10000.0
2020-11-05,BUY,6.37,1569.8587127158555,1569.8587127158555,6.37,0.0,10000.0
2020-11-06,BUY,6.31,1584.7860538827258,1584.7860538827258,6.31,0.0,10000.0
2020-11-09,BUY,6.32,1582.2784810126582,1582.2784810126582,6.32,0.0,10000.0
2020-11-10,BUY,6.16,1623.3766233766235,1623.3766233766235,6.16,0.0,10000.0
2020-11-11,BUY,6.04,1655.6291390728477,1655.6291390728477,6.04,0.0,10000.0
2020-11-12,BUY,5.88,1700.6802721088436,1700.6802721088436,5.88,0.0,10000.0
2020-11-13,BUY,5.92,1689.1891891891892,1689.1891891891892,5.92,0.0,10000.0
2020-11-16,BUY,5.89,1697.792869269949,1697.792869269949,5.89,0.0,10000.0
2020-11-17,BUY,5.69,1757.469244288225,1757.469244288225,5.69,0.0,10000.0
2020-11-18,BUY,5.72,1748.2517482517483,1748.2517482517483,5.72,0.0,10000.0
2020-11-19,BUY,5.79,1727.1157167530225,1727.1157167530225,5.79,0.0,10000.0
2020-11-20,BUY,5.81,1721.170395869191,1721.170395869191,5.81,0.0,10000.0
2020-11-23,BUY,5.79,1727.1157167530225,1727.1157167530225,5.79,0.0,10000.0
2020-11-24,BUY,5.77,1733.102253032929,1733.102253032929,5.77,0.0,10000.0
2020-11-25,BUY,5.72,1748.2517482517483,1748.2517482517483,5.72,0.0,10000.0
2020-11-26,BUY,5.54,1805.0541516245487,1805.0541516245487,5.54,0.0,10000.0
2020-11-27,BUY,5.51,1814.8820326678765,1814.8820326678765,5.51,0.0,10000.0
2020-11-30,BUY,5.57,1795.3321364452424,1795.3321364452424,5.57,0.0,10000.0
2020-12-01,BUY,5.58,1792.1146953405018,1792.1146953405018,5.58,0.0,10000.0
2020-12-02,BUY,5.77,1733.102253032929,1733.102253032929,5.77,0.0,10000.0
2020-12-03,BUY,5.74,1742.1602787456445,1742.1602787456445,5.74,0.0,10000.0
2020-12-04,BUY,5.69,1757.469244288225,1757.469244288225,5.69,0.0,10000.0
2020-12-07,BUY,5.56,1798.5611510791366,1798.5611510791366,5.56,0.0,10000.0
2020-12-08,BUY,5.7,1754.3859649122808,1754.3859649122808,5.7,0.0,10000.0
2020-12-09,BUY,5.63,1776.1989342806394,1776.1989342806394,5.63,0.0,10000.0
2020-12-10,BUY,5.55,1801.8018018018017,1801.8018018018017,5.55,0.0,10000.0
2020-12-11,BUY,5.43,1841.6206261510129,1841.6206261510129,5.43,0.0,10000.0
2020-12-14,BUY,5.58,1792.1146953405018,1792.1146953405018,5.58,0.0,10000.0
2020-12-15,BUY,5.58,1792.1146953405018,1792.1146953405018,5.58,0.0,10000.0
2020-12-16,BUY,5.58,1792.1146953405018,1792.1146953405018,5.58,0.0,10000.0
2020-12-17,BUY,5.65,1769.9115044247787,1769.9115044247787,5.65,0.0,10000.0
2020-12-18,BUY,5.81,1721.170395869191,1721.170395869191,5.81,0.0,10000.0
2020-12-21,BUY,5.78,1730.1038062283737,1730.1038062283737,5.78,0.0,10000.0
2020-12-22,BUY,5.51,1814.8820326678765,1814.8820326678765,5.51,0.0,10000.0
2020-12-23,BUY,5.86,1706.4846416382252,1706.4846416382252,5.86,0.0,10000.0
2020-12-24,BUY,5.81,1721.170395869191,1721.170395869191,5.81,0.0,10000.0
2020-12-25,BUY,6.03,1658.374792703151,1658.374792703151,6.03,0.0,10000.0
2020-12-28,BUY,6.1,1639.344262295082,1639.344262295082,6.1,0.0,10000.0
2020-12-29,BUY,5.85,1709.4017094017095,1709.4017094017095,5.85,0.0,10000.0
2020-12-30,BUY,5.88,1700.6802721088436,1700.6802721088436,5.88,0.0,10000.0
2020-12-31,BUY,6.0,1666.6666666666667,1666.6666666666667,6.0,0.0,10000.0
2021-01-04,BUY,5.99,1669.449081803005,1669.449081803005,5.99,0.0,10000.0
2021-01-05,BUY,5.86,1706.4846416382252,1706.4846416382252,5.86,0.0,10000.0
2021-01-06,BUY,6.45,1550.3875968992247,1550.3875968992247,6.45,0.0,10000.0
2021-01-07,BUY,7.1,1408.4507042253522,1408.4507042253522,7.1,0.0,10000.0
2021-01-08,BUY,7.27,1375.515818431912,1375.515818431912,7.27,0.0,10000.0
2021-01-11,BUY,11.8628,842.971305256769,842.971305256769,11.8628,0.0,10000.0
2021-01-12,BUY,12.2155,818.6320658180181,818.6320658180181,12.2155,0.0,10000.0
2021-01-13,BUY,12.429,804.5699573577923,804.5699573577923,12.429,0.0,10000.0
2021-01-14,BUY,12.6797,788.6621923231622,788.6621923231622,12.6797,0.0,10000.0
2021-01-15,BUY,7.66,1305.4830287206266,1305.4830287206266,7.66,0.0,10000.0
2021-01-18,BUY,12.4755,801.5710793154583,801.5710793154583,12.4755,0.0,10000.0
2021-01-19,BUY,7.16,1396.6480446927374,1396.6480446927374,7.16,0.0,10000.0
2021-01-20,BUY,7.03,1422.475106685633,1422.475106685633,7.03,0.0,10000.0
2021-01-21,BUY,7.14,1400.5602240896358,1400.5602240896358,7.14,0.0,10000.0
2021-01-22,BUY,6.66,1501.5015015015015,1501.5015015015015,6.66,0.0,10000.0
2021-01-25,BUY,6.79,1472.7540500736377,1472.7540500736377,6.79,0.0,10000.0
2021-01-26,BUY,7.08,1412.4293785310736,1412.4293785310736,7.08,0.0,10000.0
2021-01-27,BUY,12.0949,826.7947647355497,826.7947647355497,12.0949,0.0,10000.0
2021-01-28,BUY,11.8999,840.3431961613123,840.3431961613123,11.8999,0.0,10000.0
2021-01-29,BUY,12.0949,826.7947647355497,826.7947647355497,12.0949,0.0,10000.0
2021-02-01,BUY,11.8443,844.2879697407192,844.2879697407192,11.8443,0.0,10000.0
2021-02-02,BUY,11.2966,885.2221022254483,885.2221022254483,11.2966,0.0,10000.0
2021-02-03,BUY,10.684,935.9790340696369,935.9790340696369,10.684,0.0,10000.0
2021-02-04,BUY,10.4055,961.0302244005574,961.0302244005574,10.4055,0.0,10000.0
2021-02-05,BUY,10.6654,937.6113413467849,937.6113413467849,10.6654,0.0,10000.0
2021-02-08,BUY,10.4798,954.2166835244948,954.2166835244948,10.4798,0.0,10000.0
2021-02-09,BUY,10.619,941.7082587814295,941.7082587814295,10.619,0.0,10000.0
2021-02-10,BUY,10.7768,927.9192339098805,927.9192339098805,10.7768,0.0,10000.0
2021-02-18,BUY,10.9067,916.8676134852889,916.8676134852889,10.9067,0.0,10000.0
2021-02-19,BUY,11.1945,893.2958149091072,893.2958149091072,11.1945,0.0,10000.0
2021-02-22,BUY,7.66,1305.4830287206266,1305.4830287206266,7.66,0.0,10000.0
2021-02-23,BUY,7.46,1340.4825737265417,1340.4825737265417,7.46,0.0,10000.0
2021-02-24,BUY,7.08,1412.4293785310736,1412.4293785310736,7.08,0.0,10000.0
2021-02-25,BUY,7.79,1283.6970474967907,1283.6970474967907,7.79,0.0,10000.0
2021-02-26,BUY,11.1852,894.0385509423166,894.0385509423166,11.1852,0.0,10000.0
2021-03-01,BUY,8.05,1242.2360248447205,1242.2360248447205,8.05,0.0,10000.0
2021-03-02,BUY,7.72,1295.3367875647668,1295.3367875647668,7.72,0.0,10000.0
2021-03-03,BUY,7.7,1298.7012987012988,1298.7012987012988,7.7,0.0,10000.0
2021-03-04,BUY,7.64,1308.9005235602094,1308.9005235602094,7.64,0.0,10000.0
2021-03-05,BUY,7.76,1288.659793814433,1288.659793814433,7.76,0.0,10000.0
2021-03-08,BUY,7.99,1251.5644555694619,1251.5644555694619,7.99,0.0,10000.0
2021-03-09,BUY,7.5,1333.3333333333333,1333.3333333333333,7.5,0.0,10000.0
2021-03-10,BUY,7.14,1400.5602240896358,1400.5602240896358,7.14,0.0,10000.0
2021-03-11,BUY,7.26,1377.4104683195592,1377.4104683195592,7.26,0.0,10000.0
2021-03-12,BUY,7.02,1424.5014245014245,1424.5014245014245,7.02,0.0,10000.0
2021-03-15,BUY,6.86,1457.725947521866,1457.725947521866,6.86,0.0,10000.0
2021-03-16,BUY,6.94,1440.922190201729,1440.922190201729,6.94,0.0,10000.0
2021-03-17,BUY,7.16,1396.6480446927374,1396.6480446927374,7.16,0.0,10000.0
2021-03-18,BUY,6.93,1443.001443001443,1443.001443001443,6.93,0.0,10000.0
2021-03-19,BUY,6.91,1447.178002894356,1447.178002894356,6.91,0.0,10000.0
2021-03-22,BUY,6.9,1449.2753623188405,1449.2753623188405,6.9,0.0,10000.0
2021-03-23,BUY,6.69,1494.7683109118086,1494.7683109118086,6.69,0.0,10000.0
2021-03-24,BUY,6.09,1642.0361247947455,1642.0361247947455,6.09,0.0,10000.0
2021-03-25,BUY,6.02,1661.1295681063123,1661.1295681063123,6.02,0.0,10000.0
2021-03-26,BUY,6.28,1592.3566878980891,1592.3566878980891,6.28,0.0,10000.0
2021-03-29,BUY,6.18,1618.1229773462783,1618.1229773462783,6.18,0.0,10000.0
2021-03-30,BUY,6.15,1626.0162601626016,1626.0162601626016,6.15,0.0,10000.0
2021-03-31,BUY,6.28,1592.3566878980891,1592.3566878980891,6.28,0.0,10000.0
2021-04-01,BUY,6.22,1607.717041800643,1607.717041800643,6.22,0.0,10000.0
2021-04-02,BUY,6.24,1602.5641025641025,1602.5641025641025,6.24,0.0,10000.0
2021-04-06,BUY,6.27,1594.896331738437,1594.896331738437,6.27,0.0,10000.0
2021-04-07,BUY,6.9,1449.2753623188405,1449.2753623188405,6.9,0.0,10000.0
2021-04-08,BUY,6.78,1474.9262536873157,1474.9262536873157,6.78,0.0,10000.0
2021-04-09,BUY,6.76,1479.2899408284025,1479.2899408284025,6.76,0.0,10000.0
2021-04-12,BUY,6.72,1488.095238095238,1488.095238095238,6.72,0.0,10000.0
2021-04-13,BUY,6.52,1533.7423312883436,1533.7423312883436,6.52,0.0,10000.0
2021-04-14,BUY,6.48,1543.20987654321,1543.20987654321,6.48,0.0,10000.0
2021-04-15,BUY,6.41,1560.0624024960998,1560.0624024960998,6.41,0.0,10000.0
2021-04-16,BUY,6.62,1510.5740181268882,1510.5740181268882,6.62,0.0,10000.0
2021-04-19,BUY,6.59,1517.4506828528072,1517.4506828528072,6.59,0.0,10000.0
2021-04-20,BUY,6.48,1543.20987654321,1543.20987654321,6.48,0.0,10000.0
2021-04-21,BUY,6.37,1569.8587127158555,1569.8587127158555,6.37,0.0,10000.0
2021-04-22,BUY,6.66,1501.5015015015015,1501.5015015015015,6.66,0.0,10000.0
2021-04-23,BUY,6.38,1567.398119122257,1567.398119122257,6.38,0.0,10000.0
2021-04-26,BUY,6.34,1577.2870662460568,1577.2870662460568,6.34,0.0,10000.0
2021-04-27,BUY,6.14,1628.6644951140065,1628.6644951140065,6.14,0.0,10000.0
2021-04-28,BUY,6.61,1512.8593040847202,1512.8593040847202,6.61,0.0,10000.0
2021-04-29,BUY,6.55,1526.7175572519084,1526.7175572519084,6.55,0.0,10000.0
2021-04-30,BUY,6.38,1567.398119122257,1567.398119122257,6.38,0.0,10000.0
2021-05-06,BUY,6.6,1515.1515151515152,1515.1515151515152,6.6,0.0,10000.0
2021-05-07,BUY,6.42,1557.632398753894,1557.632398753894,6.42,0.0,10000.0
2021-05-10,BUY,6.27,1594.896331738437,1594.896331738437,6.27,0.0,10000.0
2021-05-11,BUY,6.33,1579.778830963665,1579.778830963665,6.33,0.0,10000.0
2021-05-12,BUY,6.46,1547.9876160990711,1547.9876160990711,6.46,0.0,10000.0
2021-05-13,BUY,6.35,1574.8031496062993,1574.8031496062993,6.35,0.0,10000.0
2021-05-14,BUY,6.4,1562.5,1562.5,6.4,0.0,10000.0
2021-05-17,BUY,6.29,1589.825119236884,1589.825119236884,6.29,0.0,10000.0
2021-05-18,BUY,6.31,1584.7860538827258,1584.7860538827258,6.31,0.0,10000.0
2021-05-19,BUY,6.21,1610.3059581320451,1610.3059581320451,6.21,0.0,10000.0
2021-05-20,BUY,6.16,1623.3766233766235,1623.3766233766235,6.16,0.0,10000.0
2021-05-21,BUY,6.17,1620.7455429497568,1620.7455429497568,6.17,0.0,10000.0
2021-05-24,BUY,6.0,1666.6666666666667,1666.6666666666667,6.0,0.0,10000.0
2021-05-25,BUY,6.05,1652.892561983471,1652.892561983471,6.05,0.0,10000.0
2021-05-26,BUY,6.46,1547.9876160990711,1547.9876160990711,6.46,0.0,10000.0
2021-05-27,BUY,6.4,1562.5,1562.5,6.4,0.0,10000.0
2021-05-28,BUY,6.27,1594.896331738437,1594.896331738437,6.27,0.0,10000.0
2021-05-31,BUY,6.23,1605.1364365971108,1605.1364365971108,6.23,0.0,10000.0
2021-06-01,BUY,6.26,1597.444089456869,1597.444089456869,6.26,0.0,10000.0
2021-06-02,BUY,6.43,1555.2099533437015,1555.2099533437015,6.43,0.0,10000.0
2021-06-03,BUY,6.28,1592.3566878980891,1592.3566878980891,6.28,0.0,10000.0
2021-06-04,BUY,6.17,1620.7455429497568,1620.7455429497568,6.17,0.0,10000.0
2021-06-07,BUY,6.21,1610.3059581320451,1610.3059581320451,6.21,0.0,10000.0
2021-06-08,BUY,6.14,1628.6644951140065,1628.6644951140065,6.14,0.0,10000.0
2021-06-09,BUY,6.15,1626.0162601626016,1626.0162601626016,6.15,0.0,10000.0
2021-06-10,BUY,6.11,1636.6612111292961,1636.6612111292961,6.11,0.0,10000.0
2021-06-11,BUY,6.23,1605.1364365971108,1605.1364365971108,6.23,0.0,10000.0
2021-06-15,BUY,6.1,1639.344262295082,1639.344262295082,6.1,0.0,10000.0
2021-06-16,BUY,6.01,1663.8935108153078,1663.8935108153078,6.01,0.0,10000.0
2021-06-17,BUY,5.97,1675.0418760469013,1675.0418760469013,5.97,0.0,10000.0
2021-06-18,BUY,5.91,1692.047377326565,1692.047377326565,5.91,0.0,10000.0
2021-06-21,BUY,6.08,1644.7368421052631,1644.7368421052631,6.08,0.0,10000.0
2021-06-22,BUY,6.11,1636.6612111292961,1636.6612111292961,6.11,0.0,10000.0
2021-06-23,BUY,6.04,1655.6291390728477,1655.6291390728477,6.04,0.0,10000.0
2021-06-24,BUY,5.98,1672.2408026755852,1672.2408026755852,5.98,0.0,10000.0
2021-06-25,BUY,5.97,1675.0418760469013,1675.0418760469013,5.97,0.0,10000.0
2021-06-28,BUY,5.95,1680.672268907563,1680.672268907563,5.95,0.0,10000.0
2021-06-29,BUY,5.42,1845.018450184502,1845.018450184502,5.42,0.0,10000.0
2021-06-30,BUY,5.22,1915.7088122605364,1915.7088122605364,5.22,0.0,10000.0
2021-07-01,BUY,5.15,1941.7475728155339,1941.7475728155339,5.15,0.0,10000.0
2021-07-02,BUY,5.12,1953.125,1953.125,5.12,0.0,10000.0
2021-07-05,BUY,5.21,1919.3857965451057,1919.3857965451057,5.21,0.0,10000.0
2021-07-06,BUY,5.31,1883.2391713747645,1883.2391713747645,5.31,0.0,10000.0
2021-07-07,BUY,5.26,1901.1406844106464,1901.1406844106464,5.26,0.0,10000.0
2021-07-08,BUY,5.17,1934.2359767891683,1934.2359767891683,5.17,0.0,10000.0
2021-07-09,BUY,5.27,1897.5332068311195,1897.5332068311195,5.27,0.0,10000.0
2021-07-12,BUY,5.3,1886.7924528301887,1886.7924528301887,5.3,0.0,10000.0
2021-07-13,BUY,5.35,1869.1588785046729,1869.1588785046729,5.35,0.0,10000.0
2021-07-14,BUY,5.34,1872.6591760299625,1872.6591760299625,5.34,0.0,10000.0
2021-07-15,BUY,4.83,2070.3933747412007,2070.3933747412007,4.83,0.0,10000.0
2021-07-16,BUY,4.74,2109.7046413502107,2109.7046413502107,4.74,0.0,10000.0
2021-07-19,BUY,4.68,2136.7521367521367,2136.7521367521367,4.68,0.0,10000.0
2021-07-20,BUY,4.71,2123.1422505307855,2123.1422505307855,4.71,0.0,10000.0
2021-07-21,BUY,4.83,2070.3933747412007,2070.3933747412007,4.83,0.0,10000.0
2021-07-22,BUY,4.87,2053.388090349076,2053.388090349076,4.87,0.0,10000.0
2021-07-23,BUY,4.73,2114.164904862579,2114.164904862579,4.73,0.0,10000.0
2021-07-26,BUY,4.76,2100.840336134454,2100.840336134454,4.76,0.0,10000.0
